🔢 PINs (sin encriptar) y hashed:
Auth ID	Card Number	PIN (plain)	Hashed PIN (AES + Base64)
13ecfd6b-a500-40fb-aaff-ad46d5632010	45972138	4600	QauN6YMVyEU4fnAf6AsQkg==
6dd282ab-362d-48ce-81ca-c38ee2e82a33	56471028	3440	+kMNVqLJ3tWLx1qLkdZFtw==
00531ab5-c038-4ea9-873d-6f21fca45d7d	62380594	8903	I2kULqkfwh8DEFz1bM2ZvQ==
40eed80f-618c-42d0-b48a-e38cfdc7a34f	67482109	2869	3w7ACG24PCGvwew2gp2scQ==
dbea6edf-7156-4e11-a802-ec2e4a4501fa	73219840	7629	5eSlB/4Q+h3vBDNMbJEe7g==
1654bafa-538c-4100-b0bf-cdba9439e29c	78164093	1993	PNepH7EoOxH80G0qERb+TA==
34954be0-2c69-489c-b1db-599157c06540	87924036	5723	Izkvhiy7C4FOoY4eOYHOWA==
4409fa14-a04a-4cb8-989c-b7226bd00349	92048613	8299	QNzLwVEy1XXZUVVKaeeF6Q==
54519a19-10e8-4636-b54a-868eaef18f8d	98230174	8122	EdZCSmCLnWSgjCWCHkmPTg==
b3fff58f-845c-49f9-9919-75aa1ce9f8b8	98460217	4891	HhPTF3sk65EmmkmCq11t/g==
4bdc8be8-2f96-4bd6-b995-e4eedc7e2166	14038592	9331	ZxicgRoGwbJnuAJRcn/YYw==
492beb7b-ec1a-4f94-ba8a-3a49bbe42948	18302947	4997	HC7j8IG7k6Z2M1/90kOTBw==
f5706455-57b4-427c-bfcf-2f7c1c54d4ea	18564790	7234	OiDa5Cz0oOoITVhXtvYT9A==
6607aca2-d95f-4f8f-a757-87623e15a513	23861405	4526	B+ZMnR1UkQiiRptsXyaaFQ==
4db61fca-80e1-40aa-8b5e-d07ac1fca41d	30987125	4490	biFfZ41zGDFsmEX8VTbaEw==
a9dd113f-fa97-4de7-b9f1-59d6f156529f	35714809	8395	99uJhdPqFMCUVXCyHoFN3Q==
